Name,Team,Salary
Lance Moore,PIT,4900
Paul Richardson,SEA,4900
Niles Paul,WAS,4900
Jerricho Cotchery,CAR,4900
Darrin Reaves,CAR,4900
Blair Walsh,MIN,4900
Ravens,BAL,4900
Sebastian Janikowski,OAK,4900
Cyrus Gray,KC,4900
Caleb Sturgis,MIA,4900
Josh Hill,NO,4900
Randy Bullock,HOU,4800
Junior Hemingway,KC,4800
Griff Whalen,IND,4800
Brenton Bersin,CAR,4800
Chris Owusu,NYJ,4800
Chris Polk,PHI,4800
Kenbrell Thompkins,OAK,4800
Michael Campanaro,BAL,4800
Dion Sims,MIA,4800
Joseph Randle,DAL,4800
Marqise Lee,JAX,4800
Browns,CLE,4800
Steelers,PIT,4800
Isaiah Crowell,CLE,4800
Redskins,WAS,4800
Buccaneers,TB,4800
Shayne Graham,NO,4800
John Phillips,SD,4800
Toby Gerhart,JAX,4800
Robert Herron,TB,4800
Benjamin Watson,NO,4800
Garrett Graham,HOU,4800
Michael Palmer,PIT,4800
Terrance West,CLE,4800
Adam Thielen,MIN,4800
De'Anthony Thomas,KC,4800
Texans,HOU,4800
Miles Austin,CLE,4800
Jason Avant,CAR,4800
Aaron Dobson,NE,4800
Cairo Santos,KC,4800
Will Johnson,PIT,4800
Ladarius Green,SD,4800
Tyler Eifert,CIN,4800
Lance Kendricks,STL,4800
Anthony Sherman,KC,4800
Rob Housler,ARI,4800
Daniel Thomas,MIA,4800
Kyle Juszczyk,BAL,4800
Ted Ginn Jr,,4800
Bilal Powell,NYJ,4800
Jacob Tamme,DEN,4700
Patrick Murray,TB,4700
Peyton Hillis,NYG,4700
Ronnie Brown,SD,4700
Cowboys,DAL,4700
Chargers,SD,4700
Jermaine Kearse,SEA,4700
Stedman Bailey,STL,4700
Marcel Reece,OAK,4700
Robert Turbin,SEA,4700
LeGarrette Blount,PIT,4700
Ricardo Lockette,SEA,4700
Preston Parker,NYG,4700
Nick Novak,SD,4700
Brandon McManus,DEN,4600
CJ Fiedorowicz,HOU,4600
Damien Williams,MIA,4600
Charles Johnson,CAR,4600
St Louis Rams,STL,4600
Brian Leonhardt,OAK,4600
Jack Doyle,IND,4600
Saints,NO,4600
Giants,NYG,4600
Robert Hughes,ARI,4600
Greg Salas,NYJ,4600
Ed Dickson,CAR,4600
Will Ta'ufo'ou,JAX,4600
Josh Scobee,JAX,4600
Nick Folk,NYJ,4600
John Carlson,ARI,4600
Cedric Peerman,CIN,4600
Billy Cundiff,CLE,4600
Brandon Myers,TB,4600
Kamar Aiken,BAL,4600
Panthers,CAR,4600
Joe Banyard,MIN,4600
Ryan Grant,WAS,4600
Chris Givens,STL,4600
Derek Carrier,SF,4600
Cory Harkey,STL,4600
Dan Herron,IND,4600
Jamize Olawale,OAK,4600
Jeff Maehl,PHI,4600
Trey Watts,STL,4600
Isaiah Burse,DEN,4500
Ace Sanders,JAX,4500
Vance McDonald,SF,4500
Marlon Brown,BAL,4500
James Wright,CIN,4500
Ray Agnew,,4500
Taylor Sloat,,4500
Trey Burton,PHI,4500
Glenn Winston,CLE,4500
Corey Washington,NYG,4500
Dri Archer,PIT,4500
Russell Shepard,TB,4500
Walt Powell,,4500
Zach Sudfeld,NYJ,4500
Quinton Patton,SF,4500
Michael Cox,NYG,4500
Jay Prosch,HOU,4500
Darren Fells,ARI,4500
Kevin Norwood,SEA,4500
Ryan Griffin,HOU,4500
Latavius Murray,OAK,4500
Austin Johnson,NO,4500
Ryan Otten,,4500
Orleans Darkwa,,4500
Bruce Ellington,SF,4500
Gator Hoskins,MIA,4500
Cobi Hamilton,CIN,4500
Brandon Williams,BAL,4500
Christine Michael,SEA,4500
Troy Niklas,ARI,4500
Da'Rick Rogers,,4500
Alex Bayer,STL,4500
Dontrelle Inman,SD,4500
Bryan Walters,SEA,4500
Logan Paulsen,WAS,4500
Raiders,OAK,4500
Jets,NYJ,4500
Seyi Ajirotutu,SD,4500
Alfonso Smith,,4500
Erik Lorig,NO,4500
David Nelson,,4500
Marlon Moore,CLE,4500
Jaguars,JAX,4500
James Develin,NE,4500
Jeremy Kerley,NYJ,4500
Dwayne Harris,DAL,4500
Jordan Todman,JAX,4500
Aldrick Robinson,WAS,4500
Dion Lewis,,4500
Denarius Moore,OAK,4500
Tyler Clutts,DAL,4500
Vincent Brown,OAK,4500
Luke Stocker,TB,4500
Mickey Shuler,,4500
Trindon Holliday,TB,4500
Jacoby Jones,BAL,4500
Brent Celek,PHI,4500
Andre Caldwell,DEN,4500
Brad Smith,PHI,4500
Jerome Felton,MIN,4500
Robert Meachem,NO,4500
Gary Barnidge,CLE,4500
David Johnson,SD,4500
Matt Spaeth,PIT,4500
Santana Moss,WAS,4500
James Casey,PHI,4500
Kassim Osgood,SF,4500
Damian Williams,MIA,4500
Michael Hoomanawanui,NE,4500
John Conner,NYJ,4500
Brandon Gibson,MIA,4500
Zach Miller,CHI,4500
,,
Kevin Ogletree,NYG,4500
Darrius Heyward-Bey,PIT,4500
Virgil Green,DEN,4500
Bruce Miller,SF,4500
Jorvorskie Lane,TB,4500
Rodney Smith,CLE,4500
Lonnie Pryor,TB,4500
Tommy Bohanon,NYJ,4500
Jonathan Grimes,HOU,4500
Deonte Thompson,,4500
Derrick Coleman,SEA,4500
Mike Brown,JAX,4500
Brandon Bolden,NE,4500
Devin Street,DAL,4500
Quincy Enunwa,NYJ,4500
