Name,Team,Salary
Ryan Ellis,NSH,4452
Ryan Garbutt,DAL,5394
Ryan Getzlaf,ANA,8927
RyaNJohansen,CBJ,8908
Ryan Kesler,ANA,6338
Ryan Malone,NYR,1894
Ryan McDonagh,NYR,5248
Ryan Murphy,CAR,3916
Ryan Murray,CBJ,1927
Ryan Nugent-Hopkins,EDM,6206
Ryan O'reilly,COL,5817
Ryan Reaves,STL,3019
Ryan Spooner,BOS,1737
Ryan Stanton,VAN,3688
Ryan Strome,NYI,6010
Ryan Suter,MIN,4839
Ryan Wilson,COL,1772
Ryane Clowe,NJ,4128
Sam Carrick,TOR,1749
Sam Gagner,ARI,4814
Sam Reinhart,BUF,2650
Sami Vatanen,ANA,5862
Scott Gomez,NJ,6656
Scott Hannan, SJ,2599
Scott Harrington,PIT,1968
Scott Hartnell,CBJ,6361
Scott Laughton,PHI,3647
Scottie Upshall,FLA,4250
Sean Bergenheim,FLA,4948
Sean Collins,CBJ,3575
Sean Couturier,PHI,5921
Sean Monahan,CGY,6222
Sergei Gonchar,DAL/MTL,4128
Seth Griffith,BOS,4382
Seth Helgeson,NJ,2818
Seth Jones,NSH,3541
Shane Doan,ARI,5528
Shane O'brien,FLA,3493
Shawn Horcoff,DAL,4910
Shawn Matthias,VAN,4446
Shawn Thornton,FLA,2564
Shayne Gostisbehere,PHI,1779
Shea Weber,NSH,6716
Sidney Crosby,PIT,9491
Simon Despres,PIT,3517
Simon Gagne,BOS,3403
Slava Voynov,L A,4495
Stephane Robidas,TOR,3630
Stephane Veilleux,MIN,1722
Stephen Gionta,NJ,3322
Stephen Weiss,DET,5590
Steve Bernier,NJ,4723
Steve Downie,PIT,5291
Steve Ott,STL,3499
Steven Pinizzotto,EDM,3366
Steven Stamkos,TB,7753
Stu Bickel,MIN,2456
Stuart Percy,TOR,4505
Sven Andrighetto,MTL,3604
Sven Baertschi,CGY,3239
T j  Brodie,CGY,6463
T j  Galiardi,WPG,2485
T j  Oshie,STL,6466
Tanner Glass,NYR,2382
Tanner Pearson,L A,4277
Taylor Beck,NSH,3867
Taylor Hall,EDM,6686
Teddy Purcell,EDM,4581
Teemu Pulkkinen,DET,1946
Teuvo Teravainen,CHI,3119
Thomas Hickey,NYI,4293
Thomas Vanek,MIN,5471
Tim Erixon,CBJ/CHI,3216
Tim Gleason,CAR,3423
Tim Jackman,ANA,2721
Tim Schaller,BUF,2929
Tim Sestito,NJ,2807
Tobias Enstrom,WPG,5007
Tobias Rieder,ARI,4318
Tom Gilbert,MTL,3758
Tom Sestito,VAN,4144
Tom Wilson,WSH,3788
Tomas Fleischmann,FLA,4479
Tomas Hertl, SJ,4070
Toma SJurco,DET,3437
Tomas Kopecky,FLA,3518
Tomas Plekanec,MTL,7223
Tomas Tatar,DET,6214
Tomas Vincour,COL,2741
Tommy Wingels, SJ,5637
Torey Krug,BOS,5446
Torrey Mitchell,BUF,3998
Travis Hamonic,NYI,4038
Travis Moen,MTL/DAL,3377
Travis Morin,DAL,1948
Travis Zajac,NJ,5052
Trevor Daley,DAL,5836
Trevor Lewis,L A,3966
Trevor Smith,TOR,2776
Trevor van riemsdyk,CHI,2055
Troy Brouwer,WSH,5360
Tuomo Ruutu,NJ,3334
Tye McGinn, SJ,3021
Tyler Bozak,TOR,6752
Tyler Ennis,BUF,6369
Tyler Gaudet,ARI,1671
Tyler Johnson,TB,9043
Tyler Kennedy, SJ,4620
Tyler Myers,BUF,4449
Tyler Pitlick,EDM,2479
Tyler Seguin,DAL,9339
Tyler Toffoli,L A,6068
Tyson Barrie,COL,5572
Tyson Strachan,BUF,3911
Valeri Nichushkin,DAL,1901
Valtteri Filppula,TB,6030
Vernon Fiddler,DAL,4607
Victor Bartley,NSH,4889
Victor Hedman,TB,6875
Victor Rask,CAR,3396
Viktor Stalberg,NSH,3977
Vincent Lecavalier,PHI,4591
Vincent Trocheck,FLA,4946
Vladimir Tarasenko,STL,7887
Vladislav Namestnikov,TB,3841
Wayne Simmonds,PHI,5312
Will Acton,EDM,1781
William Karlsson,ANA,3125
Willie Mitchell,FLA,3769
Xavier Ouellet,DET,2681
Yannick Weber,VAN,3947
Zac Rinaldo,PHI,2437
Zach Bogosian,WPG,4868
Zach Boychuk,CAR,3235
Zach Parise,MIN,7118
Zach Redmond,COL,4782
Zach Sill,PIT,2141
Zach Trotman,BOS,3470
Zack Kassian,VAN,3420
Zack Smith,OTT,3313
Zbynek Michalek,ARI,3905
Zdeno Chara,BOS,4640
Zemgus Girgensons,BUF,6079
