Name,Team,Salary
Shawn Horcoff,DAL,5023
Shawn Matthias,VAN,4716
Shawn Thornton,FLA,2410
Shayne Gostisbehere,PHI,978
Shea Weber,NSH,6525
Sidney Crosby,PIT,8927
Simon Despres,PIT,4327
Simon Gagne,BOS,2966
Slava Voynov,LA,2894
Stephane Robidas,TOR,3589
Stephane Veilleux,MIN,1038
Stephen Gionta,NJ,3588
Stephen Weiss,DET,4820
Steve Bernier,NJ,4500
Steve Downie,PIT,5338
Steve Ott,STL,3924
Steven Pinizzotto,EDM,2852
Steven Stamkos,TB,7874
Stu Bickel,MIN,1751
Stuart Percy,TOR,3131
Sven Andrighetto,MTL,2747
Sven Baertschi,CGY,2535
T j  Brodie,CGY,6354
T j  Galiardi,WPG,2390
T j  Oshie,STL,6449
Tanner Glass,NYR,2571
Tanner Pearson,LA,5034
Taylor Beck,NSH,3717
Taylor Chorney,PIT,802
Taylor Hall,EDM,6450
Teddy Purcell,EDM,5228
Teemu Pulkkinen,DET,1283
Teuvo Teravainen,CHI,2168
Thomas Hickey,NYI,4748
Thomas Vanek,MIN,6080
Tim Erixon,CBJ/CHI,3387
Tim Gleason,CAR,3866
Tim Jackman,ANA,3471
Tim Schaller,BUF,1903
Tim Sestito,NJ,2157
Tobias Enstrom,WPG,4618
Tobias Rieder,ARI,4407
Tom Gilbert,MTL,3921
Tom Sestito,VAN,2615
Tom Wilson,WSH,4035
Tomas Fleischmann,FLA,4535
Tomas Hertl,SJ,5108
TomaSJurco,DET,4304
Tomas Kopecky,FLA,3787
Tomas Plekanec,MTL,6727
Tomas Tatar,DET,6860
Tomas Vincour,COL,1848
Tommy Wingels,SJ,5924
Torey Krug,BOS,5737
Torrey Mitchell,BUF,3574
Travis Hamonic,NYI,4297
Travis Moen,MTL/DAL,3411
Travis Morin,DAL,1272
Travis Zajac,NJ,4914
Trevor Daley,DAL,5636
Trevor Lewis,LA,4359
Trevor Smith,TOR,2922
Trevor van riemsdyk,CHI,2122
Troy Bodie,TOR,1114
Troy Brouwer,WSH,5766
Tuomo Ruutu,NJ,3981
Tye McGinn,SJ,3203
Tyler Bozak,TOR,6729
Tyler Ennis,BUF,6249
Tyler Gaudet,ARI,846
Tyler Graovac,MIN,946
Tyler Johnson,TB,8361
Tyler Kennedy,SJ,3836
Tyler Myers,BUF,4046
Tyler Pitlick,EDM,1975
Tyler Seguin,DAL,8868
Tyler Toffoli,LA,6218
Tyson Barrie,COL,6145
Tyson Strachan,BUF,3133
Valeri Nichushkin,DAL,1128
Valtteri Filppula,TB,6452
Vernon Fiddler,DAL,4712
Victor Bartley,NSH,3774
Victor Hedman,TB,5877
Victor Rask,CAR,4844
Viktor Stalberg,NSH,2788
Vincent Lecavalier,PHI,4513
Vincent Trocheck,FLA,4596
Vladimir Tarasenko,STL,8208
Vladislav Namestnikov,TB,3549
Wayne Simmonds,PHI,6236
WilLActon,EDM,957
William Karlsson,ANA,2724
Willie Mitchell,FLA,3850
Xavier Ouellet,DET,2423
Yannick Weber,VAN,4119
Zac Dalpe,BUF,859
Zac Rinaldo,PHI,2901
Zach Bogosian,WPG,4565
Zach Boychuk,CAR,3445
Zach Parise,MIN,7213
Zach Redmond,COL,4168
Zach Sill,PIT,2519
Zach Trotman,BOS,2923
Zack Kassian,VAN,3189
Zack Smith,OTT,3014
Zbynek Michalek,ARI,3964
Zdeno Chara,BOS,4333
Zemgus Girgensons,BUF,5688
All stats from war-on-ice com,,
